operation_type,operation_number,duration_ms,success,status_code,post_id,error_message,timestamp
INSERT,1,12.803077697753906,True,200,53,,2025-09-12T16:29:28.690500
INSERT,2,10.154247283935547,True,200,54,,2025-09-12T16:29:28.690546
INSERT,3,10.239839553833008,True,200,55,,2025-09-12T16:29:28.690567
INSERT,4,9.540319442749023,True,200,56,,2025-09-12T16:29:28.690584
INSERT,5,11.285543441772461,True,200,57,,2025-09-12T16:29:28.690604
INSERT,6,9.69243049621582,True,200,58,,2025-09-12T16:29:28.690622
INSERT,7,9.802579879760742,True,200,59,,2025-09-12T16:29:28.690637
INSERT,8,13.879776000976562,True,200,60,,2025-09-12T16:29:28.690651
INSERT,9,12.900114059448242,True,200,61,,2025-09-12T16:29:28.690666
INSERT,10,9.092569351196289,True,200,62,,2025-09-12T16:29:28.690680
INSERT,11,10.313034057617188,True,200,63,,2025-09-12T16:29:28.690694
INSERT,12,12.310504913330078,True,200,64,,2025-09-12T16:29:28.690709
INSERT,13,12.139081954956055,True,200,65,,2025-09-12T16:29:28.690723
INSERT,14,11.893033981323242,True,200,66,,2025-09-12T16:29:28.690736
INSERT,15,15.446662902832031,True,200,67,,2025-09-12T16:29:28.690750
INSERT,16,10.40959358215332,True,200,68,,2025-09-12T16:29:28.690764
INSERT,17,11.422872543334961,True,200,69,,2025-09-12T16:29:28.690778
INSERT,18,9.823083877563477,True,200,70,,2025-09-12T16:29:28.690792
INSERT,19,10.023832321166992,True,200,71,,2025-09-12T16:29:28.690806
INSERT,20,11.092901229858398,True,200,72,,2025-09-12T16:29:28.690820
INSERT,21,8.980989456176758,True,200,73,,2025-09-12T16:29:28.690834
INSERT,22,13.9923095703125,True,200,74,,2025-09-12T16:29:28.690847
INSERT,23,11.46554946899414,True,200,75,,2025-09-12T16:29:28.690861
INSERT,24,9.831428527832031,True,200,76,,2025-09-12T16:29:28.690875
INSERT,25,11.714935302734375,True,200,77,,2025-09-12T16:29:28.690889
INSERT,26,12.75324821472168,True,200,78,,2025-09-12T16:29:28.690903
INSERT,27,12.828826904296875,True,200,79,,2025-09-12T16:29:28.690917
INSERT,28,9.239673614501953,True,200,80,,2025-09-12T16:29:28.690931
INSERT,29,13.66877555847168,True,200,81,,2025-09-12T16:29:28.690945
INSERT,30,12.741804122924805,True,200,82,,2025-09-12T16:29:28.690959
INSERT,31,11.408329010009766,True,200,83,,2025-09-12T16:29:28.690973
INSERT,32,11.237859725952148,True,200,84,,2025-09-12T16:29:28.690987
INSERT,33,10.853290557861328,True,200,85,,2025-09-12T16:29:28.691001
INSERT,34,11.813640594482422,True,200,86,,2025-09-12T16:29:28.691015
INSERT,35,11.725902557373047,True,200,87,,2025-09-12T16:29:28.691029
INSERT,36,12.353181838989258,True,200,88,,2025-09-12T16:29:28.691043
INSERT,37,13.77558708190918,True,200,89,,2025-09-12T16:29:28.691056
INSERT,38,14.43028450012207,True,200,90,,2025-09-12T16:29:28.691070
INSERT,39,9.837150573730469,True,200,91,,2025-09-12T16:29:28.691084
INSERT,40,13.829708099365234,True,200,92,,2025-09-12T16:29:28.691097
INSERT,41,15.197277069091797,True,200,93,,2025-09-12T16:29:28.691111
INSERT,42,16.061782836914062,True,200,94,,2025-09-12T16:29:28.691125
INSERT,43,13.865470886230469,True,200,95,,2025-09-12T16:29:28.691139
INSERT,44,10.419607162475586,True,200,96,,2025-09-12T16:29:28.691153
INSERT,45,12.122154235839844,True,200,97,,2025-09-12T16:29:28.691167
INSERT,46,11.020660400390625,True,200,98,,2025-09-12T16:29:28.691181
INSERT,47,11.456012725830078,True,200,99,,2025-09-12T16:29:28.691195
INSERT,48,10.928869247436523,True,200,100,,2025-09-12T16:29:28.691208
INSERT,49,12.040138244628906,True,200,101,,2025-09-12T16:29:28.691222
INSERT,50,11.666297912597656,True,200,102,,2025-09-12T16:29:28.691236
QUERY,1,15.964031219482422,True,200,52,,2025-09-12T16:29:28.691250
QUERY,2,11.51418685913086,True,200,1,,2025-09-12T16:29:28.691264
QUERY,3,10.354280471801758,True,200,1,,2025-09-12T16:29:28.691278
QUERY,4,9.238481521606445,True,200,52,,2025-09-12T16:29:28.691292
QUERY,5,11.331796646118164,True,200,52,,2025-09-12T16:29:28.691306
QUERY,6,8.412599563598633,True,200,52,,2025-09-12T16:29:28.691319
QUERY,7,8.085012435913086,True,200,52,,2025-09-12T16:29:28.691341
QUERY,8,9.409904479980469,True,200,52,,2025-09-12T16:29:28.691356
QUERY,9,8.555889129638672,True,200,52,,2025-09-12T16:29:28.691370
QUERY,10,9.487628936767578,True,200,52,,2025-09-12T16:29:28.691383
QUERY,11,9.198427200317383,True,200,52,,2025-09-12T16:29:28.691396
QUERY,12,9.90915298461914,True,200,1,,2025-09-12T16:29:28.691410
QUERY,13,8.804082870483398,True,200,1,,2025-09-12T16:29:28.691423
QUERY,14,9.30333137512207,True,200,1,,2025-09-12T16:29:28.691436
QUERY,15,11.231184005737305,True,200,1,,2025-09-12T16:29:28.691451
QUERY,16,8.162736892700195,True,200,52,,2025-09-12T16:29:28.691465
QUERY,17,8.975744247436523,True,200,52,,2025-09-12T16:29:28.691477
QUERY,18,8.463382720947266,True,200,52,,2025-09-12T16:29:28.691489
QUERY,19,9.008169174194336,True,200,52,,2025-09-12T16:29:28.691500
QUERY,20,8.359432220458984,True,200,52,,2025-09-12T16:29:28.691511
QUERY,21,10.485649108886719,True,200,52,,2025-09-12T16:29:28.691523
QUERY,22,10.66899299621582,True,200,1,,2025-09-12T16:29:28.691534
QUERY,23,8.791923522949219,True,200,1,,2025-09-12T16:29:28.691545
QUERY,24,9.120702743530273,True,200,52,,2025-09-12T16:29:28.691557
QUERY,25,7.747411727905273,True,200,1,,2025-09-12T16:29:28.691568
QUERY,26,10.589361190795898,True,200,52,,2025-09-12T16:29:28.691580
QUERY,27,7.720232009887695,True,200,52,,2025-09-12T16:29:28.691592
QUERY,28,10.133981704711914,True,200,52,,2025-09-12T16:29:28.691604
QUERY,29,10.833024978637695,True,200,52,,2025-09-12T16:29:28.691620
QUERY,30,8.900880813598633,True,200,1,,2025-09-12T16:29:28.691632
QUERY,31,11.995792388916016,True,200,52,,2025-09-12T16:29:28.691643
QUERY,32,7.476806640625,True,200,1,,2025-09-12T16:29:28.691655
QUERY,33,10.798215866088867,True,200,1,,2025-09-12T16:29:28.691666
QUERY,34,8.760690689086914,True,200,1,,2025-09-12T16:29:28.691678
QUERY,35,9.40847396850586,True,200,1,,2025-09-12T16:29:28.691689
QUERY,36,9.996175765991211,True,200,1,,2025-09-12T16:29:28.691700
QUERY,37,7.679462432861328,True,200,52,,2025-09-12T16:29:28.691712
QUERY,38,9.715080261230469,True,200,52,,2025-09-12T16:29:28.691723
QUERY,39,6.680488586425781,True,200,1,,2025-09-12T16:29:28.691734
QUERY,40,8.021354675292969,True,200,1,,2025-09-12T16:29:28.691746
QUERY,41,7.367610931396484,True,200,52,,2025-09-12T16:29:28.691757
QUERY,42,9.046316146850586,True,200,1,,2025-09-12T16:29:28.691768
QUERY,43,7.446050643920898,True,200,52,,2025-09-12T16:29:28.691780
QUERY,44,9.814262390136719,True,200,1,,2025-09-12T16:29:28.691796
QUERY,45,9.42230224609375,True,200,1,,2025-09-12T16:29:28.691808
QUERY,46,12.215137481689453,True,200,52,,2025-09-12T16:29:28.691819
QUERY,47,14.362573623657227,True,200,52,,2025-09-12T16:29:28.691830
QUERY,48,8.20016860961914,True,200,1,,2025-09-12T16:29:28.691842
QUERY,49,7.834434509277344,True,200,1,,2025-09-12T16:29:28.691853
QUERY,50,9.422540664672852,True,200,1,,2025-09-12T16:29:28.691864
