Operacion,Numero,Tiempo_ms
INSERT,1,9.00
INSERT,2,7.67
INSERT,3,7.49
INSERT,4,8.78
INSERT,5,6.13
INSERT,6,6.75
INSERT,7,6.94
INSERT,8,7.79
INSERT,9,7.25
INSERT,10,6.26
INSERT,11,6.23
INSERT,12,7.64
INSERT,13,6.63
INSERT,14,7.97
INSERT,15,6.85
INSERT,16,7.09
INSERT,17,8.32
INSERT,18,7.45
INSERT,19,6.41
INSERT,20,7.48
INSERT,21,7.85
INSERT,22,7.40
INSERT,23,7.54
INSERT,24,7.78
INSERT,25,6.71
INSERT,26,6.04
INSERT,27,8.23
INSERT,28,9.13
INSERT,29,8.90
INSERT,30,6.61
INSERT,31,6.71
INSERT,32,6.67
INSERT,33,6.29
INSERT,34,7.92
INSERT,35,7.32
INSERT,36,7.47
INSERT,37,6.36
INSERT,38,6.58
INSERT,39,6.33
INSERT,40,5.84
INSERT,41,6.67
INSERT,42,6.13
INSERT,43,6.19
INSERT,44,6.17
INSERT,45,6.28
INSERT,46,7.35
INSERT,47,5.42
INSERT,48,5.84
INSERT,49,6.57
INSERT,50,5.82
SELECT,1,5.99
SELECT,2,7.31
SELECT,3,5.61
SELECT,4,5.89
SELECT,5,7.15
SELECT,6,6.16
SELECT,7,6.59
SELECT,8,6.14
SELECT,9,6.09
SELECT,10,7.59
SELECT,11,5.89
SELECT,12,6.35
SELECT,13,5.67
SELECT,14,5.79
SELECT,15,6.47
SELECT,16,5.52
SELECT,17,5.74
SELECT,18,5.50
SELECT,19,5.60
SELECT,20,6.17
SELECT,21,5.78
SELECT,22,5.62
SELECT,23,6.22
SELECT,24,5.53
SELECT,25,5.42
SELECT,26,6.96
SELECT,27,5.58
SELECT,28,5.50
SELECT,29,6.19
SELECT,30,5.32
SELECT,31,5.87
SELECT,32,6.77
SELECT,33,5.56
SELECT,34,6.55
SELECT,35,6.16
SELECT,36,6.03
SELECT,37,6.52
SELECT,38,6.17
SELECT,39,6.09
SELECT,40,6.43
SELECT,41,5.74
SELECT,42,5.82
SELECT,43,5.92
SELECT,44,6.02
SELECT,45,6.30
SELECT,46,5.89
SELECT,47,5.57
SELECT,48,5.81
SELECT,49,5.04
SELECT,50,5.88
