Operacion,Numero,Tiempo_ms
INSERT,1,1.01
INSERT,2,0.93
INSERT,3,0.67
INSERT,4,0.56
INSERT,5,0.54
INSERT,6,0.60
INSERT,7,0.69
INSERT,8,0.62
INSERT,9,0.63
INSERT,10,0.83
INSERT,11,0.98
INSERT,12,0.97
INSERT,13,1.15
INSERT,14,0.91
INSERT,15,0.61
INSERT,16,0.58
INSERT,17,0.82
INSERT,18,0.83
INSERT,19,0.78
INSERT,20,0.81
INSERT,21,0.78
INSERT,22,0.77
INSERT,23,0.66
INSERT,24,0.64
INSERT,25,1.12
INSERT,26,0.76
INSERT,27,0.73
INSERT,28,0.63
INSERT,29,0.51
INSERT,30,0.50
INSERT,31,0.58
INSERT,32,0.57
INSERT,33,0.98
INSERT,34,1.14
INSERT,35,1.10
INSERT,36,0.85
INSERT,37,0.88
INSERT,38,0.87
INSERT,39,0.84
INSERT,40,1.00
INSERT,41,1.23
INSERT,42,0.73
INSERT,43,0.76
INSERT,44,0.56
INSERT,45,0.77
INSERT,46,0.87
INSERT,47,0.61
INSERT,48,0.56
INSERT,49,0.78
INSERT,50,0.79
SELECT,1,0.90
SELECT,2,0.83
SELECT,3,0.74
SELECT,4,0.67
SELECT,5,0.67
SELECT,6,0.82
SELECT,7,1.00
SELECT,8,0.96
SELECT,9,1.09
SELECT,10,0.97
SELECT,11,1.05
SELECT,12,0.83
SELECT,13,0.65
SELECT,14,1.17
SELECT,15,1.23
SELECT,16,0.91
SELECT,17,0.93
SELECT,18,1.00
SELECT,19,0.86
SELECT,20,0.93
SELECT,21,0.73
SELECT,22,0.80
SELECT,23,0.63
SELECT,24,0.90
SELECT,25,0.83
SELECT,26,0.73
SELECT,27,0.67
SELECT,28,0.67
SELECT,29,0.67
SELECT,30,0.95
SELECT,31,0.97
SELECT,32,1.71
SELECT,33,0.90
SELECT,34,0.78
SELECT,35,1.07
SELECT,36,1.17
SELECT,37,1.20
SELECT,38,1.03
SELECT,39,0.67
SELECT,40,0.73
SELECT,41,0.68
SELECT,42,0.77
SELECT,43,0.83
SELECT,44,1.01
SELECT,45,0.75
SELECT,46,0.64
SELECT,47,0.55
SELECT,48,0.45
SELECT,49,0.42
SELECT,50,0.42
