Operacion,Numero,Tiempo_ms
INSERT,1,0.94
INSERT,2,1.08
INSERT,3,0.93
INSERT,4,0.96
INSERT,5,0.79
INSERT,6,0.73
INSERT,7,0.68
INSERT,8,0.70
INSERT,9,0.71
INSERT,10,0.62
INSERT,11,0.59
INSERT,12,0.59
INSERT,13,0.75
INSERT,14,0.85
INSERT,15,1.50
INSERT,16,1.22
INSERT,17,2.10
INSERT,18,1.21
INSERT,19,1.16
INSERT,20,0.95
INSERT,21,1.11
INSERT,22,0.90
INSERT,23,1.10
INSERT,24,1.21
INSERT,25,1.18
INSERT,26,1.24
INSERT,27,0.91
INSERT,28,1.04
INSERT,29,1.03
INSERT,30,0.64
INSERT,31,0.68
INSERT,32,0.60
INSERT,33,0.58
INSERT,34,0.56
INSERT,35,0.65
INSERT,36,0.71
INSERT,37,0.91
INSERT,38,1.09
INSERT,39,0.96
INSERT,40,1.04
INSERT,41,0.98
INSERT,42,1.06
INSERT,43,0.99
INSERT,44,1.21
INSERT,45,1.12
INSERT,46,1.37
INSERT,47,1.09
INSERT,48,0.84
INSERT,49,0.76
INSERT,50,0.57
SELECT,1,0.78
SELECT,2,0.69
SELECT,3,0.99
SELECT,4,1.03
SELECT,5,0.84
SELECT,6,0.90
SELECT,7,1.09
SELECT,8,0.94
SELECT,9,1.10
SELECT,10,1.21
SELECT,11,0.96
SELECT,12,0.71
SELECT,13,0.76
SELECT,14,0.71
SELECT,15,0.89
SELECT,16,0.90
SELECT,17,0.85
SELECT,18,0.71
SELECT,19,0.61
SELECT,20,0.57
SELECT,21,0.58
SELECT,22,0.61
SELECT,23,0.82
SELECT,24,0.77
SELECT,25,0.67
SELECT,26,0.92
SELECT,27,1.27
SELECT,28,1.22
SELECT,29,1.31
SELECT,30,1.54
SELECT,31,1.10
SELECT,32,0.78
SELECT,33,0.60
SELECT,34,0.55
SELECT,35,0.75
SELECT,36,0.88
SELECT,37,0.75
SELECT,38,0.60
SELECT,39,0.63
SELECT,40,0.65
SELECT,41,0.65
SELECT,42,0.75
SELECT,43,0.84
SELECT,44,0.85
SELECT,45,1.06
SELECT,46,1.18
SELECT,47,1.01
SELECT,48,1.52
SELECT,49,0.91
SELECT,50,0.73
