Operacion,Numero,Tiempo_ms
INSERT,1,364.53
INSERT,2,10.79
INSERT,3,9.77
INSERT,4,11.11
INSERT,5,9.06
INSERT,6,8.51
INSERT,7,8.75
INSERT,8,7.54
INSERT,9,8.30
INSERT,10,8.39
INSERT,11,8.66
INSERT,12,7.57
INSERT,13,8.61
INSERT,14,8.73
INSERT,15,8.44
INSERT,16,11.41
INSERT,17,8.86
INSERT,18,7.21
INSERT,19,7.90
INSERT,20,7.12
INSERT,21,7.89
INSERT,22,7.58
INSERT,23,7.86
INSERT,24,7.13
INSERT,25,7.44
INSERT,26,7.87
INSERT,27,10.92
INSERT,28,8.34
INSERT,29,8.77
INSERT,30,8.65
INSERT,31,10.59
INSERT,32,9.31
INSERT,33,6.64
INSERT,34,7.82
INSERT,35,7.58
INSERT,36,8.10
INSERT,37,7.73
INSERT,38,7.62
INSERT,39,8.34
INSERT,40,7.29
INSERT,41,7.49
INSERT,42,7.22
INSERT,43,7.57
INSERT,44,6.63
INSERT,45,7.09
INSERT,46,7.66
INSERT,47,6.98
INSERT,48,7.52
INSERT,49,6.41
INSERT,50,7.92
SELECT,1,59.05
SELECT,2,7.62
SELECT,3,6.92
SELECT,4,6.90
SELECT,5,7.24
SELECT,6,6.32
SELECT,7,8.14
SELECT,8,6.09
SELECT,9,6.23
SELECT,10,7.30
SELECT,11,6.52
SELECT,12,7.65
SELECT,13,6.74
SELECT,14,7.50
SELECT,15,7.13
SELECT,16,7.34
SELECT,17,7.37
SELECT,18,6.14
SELECT,19,7.58
SELECT,20,6.15
SELECT,21,6.75
SELECT,22,6.63
SELECT,23,6.38
SELECT,24,7.31
SELECT,25,6.77
SELECT,26,7.20
SELECT,27,6.83
SELECT,28,7.23
SELECT,29,6.75
SELECT,30,6.20
SELECT,31,7.37
SELECT,32,6.40
SELECT,33,6.36
SELECT,34,6.91
SELECT,35,6.28
SELECT,36,7.38
SELECT,37,6.02
SELECT,38,6.32
SELECT,39,7.12
SELECT,40,6.44
SELECT,41,6.89
SELECT,42,6.10
SELECT,43,6.28
SELECT,44,6.87
SELECT,45,6.68
SELECT,46,7.81
SELECT,47,5.66
SELECT,48,6.43
SELECT,49,6.69
SELECT,50,15.92
