operation_type,operation_number,duration_ms,success,status_code,post_id,timestamp
INSERT,1,148.53373900041333,True,200,,2025-09-12T15:13:52.984995
INSERT,2,9.453003000089666,True,200,,2025-09-12T15:13:53.094814
INSERT,3,20.135333000325772,True,200,,2025-09-12T15:13:53.215365
INSERT,4,21.67226399978972,True,200,,2025-09-12T15:13:53.337415
INSERT,5,22.14231599964478,True,200,,2025-09-12T15:13:53.460007
INSERT,6,20.29727399985859,True,200,,2025-09-12T15:13:53.580678
INSERT,7,18.87285599968891,True,200,,2025-09-12T15:13:53.699860
INSERT,8,16.3959680003245,True,200,,2025-09-12T15:13:53.816554
INSERT,9,19.379288999971322,True,200,,2025-09-12T15:13:53.936420
INSERT,10,9.101150999867968,True,200,,2025-09-12T15:13:54.045939
INSERT,11,18.410661999951117,True,200,,2025-09-12T15:13:54.164785
INSERT,12,18.425692000164418,True,200,,2025-09-12T15:13:54.283541
INSERT,13,19.535739999810176,True,200,,2025-09-12T15:13:54.403536
INSERT,14,19.723179999800777,True,200,,2025-09-12T15:13:54.523726
INSERT,15,19.33871800019915,True,200,,2025-09-12T15:13:54.643408
INSERT,16,17.19189400000687,True,200,,2025-09-12T15:13:54.761000
INSERT,17,19.471238999813067,True,200,,2025-09-12T15:13:54.880891
INSERT,18,11.771107999720698,True,200,,2025-09-12T15:13:54.993101
INSERT,19,23.253993000253104,True,200,,2025-09-12T15:13:55.116869
INSERT,20,20.4499150004267,True,200,,2025-09-12T15:13:55.237823
INSERT,21,23.499715000070864,True,200,,2025-09-12T15:13:55.361750
INSERT,22,18.74331399994844,True,200,,2025-09-12T15:13:55.480874
INSERT,23,19.810500999938085,True,200,,2025-09-12T15:13:55.601034
INSERT,24,19.16672600009406,True,200,,2025-09-12T15:13:55.720580
INSERT,25,13.442968999697769,True,200,,2025-09-12T15:13:55.834399
INSERT,26,9.692984000139404,True,200,,2025-09-12T15:13:55.944410
INSERT,27,19.09989499972653,True,200,,2025-09-12T15:13:56.063827
INSERT,28,20.065550999788684,True,200,,2025-09-12T15:13:56.184286
INSERT,29,18.956663999688317,True,200,,2025-09-12T15:13:56.303718
INSERT,30,11.566465999749198,True,200,,2025-09-12T15:13:56.415749
INSERT,31,19.368186999599857,True,200,,2025-09-12T15:13:56.535529
INSERT,32,20.083811999938916,True,200,,2025-09-12T15:13:56.656044
INSERT,33,11.109633000160102,True,200,,2025-09-12T15:13:56.767616
INSERT,34,11.122664000140503,True,200,,2025-09-12T15:13:56.879159
INSERT,35,19.070645999818225,True,200,,2025-09-12T15:13:56.998642
INSERT,36,10.098987000219495,True,200,,2025-09-12T15:13:57.109098
INSERT,37,18.906583999978466,True,200,,2025-09-12T15:13:57.228430
INSERT,38,18.34863000021869,True,200,,2025-09-12T15:13:57.347217
INSERT,39,19.24585599999773,True,200,,2025-09-12T15:13:57.466907
INSERT,40,16.83103100003791,True,200,,2025-09-12T15:13:57.584186
INSERT,41,18.722362000062276,True,200,,2025-09-12T15:13:57.703338
INSERT,42,10.383227999682276,True,200,,2025-09-12T15:13:57.814149
INSERT,43,18.915323999863176,True,200,,2025-09-12T15:13:57.933498
INSERT,44,22.48885600010908,True,200,,2025-09-12T15:13:58.056455
INSERT,45,10.75050999997984,True,200,,2025-09-12T15:13:58.167630
INSERT,46,10.561219000010169,True,200,,2025-09-12T15:13:58.278597
INSERT,47,10.112936000041373,True,200,,2025-09-12T15:13:58.389182
INSERT,48,9.762483000031352,True,200,,2025-09-12T15:13:58.499375
INSERT,49,13.025924999965355,True,200,,2025-09-12T15:13:58.612833
INSERT,50,10.63569899997674,True,200,,2025-09-12T15:13:58.723864
QUERY,1,507.1220849999918,True,200,100032,2025-09-12T15:13:59.331408
QUERY,2,183.13379199980773,True,200,100024,2025-09-12T15:13:59.614836
QUERY,3,146.4611030000924,True,200,100036,2025-09-12T15:13:59.861599
QUERY,4,155.6794620000801,True,200,100023,2025-09-12T15:14:00.117632
QUERY,5,175.40940900016722,True,200,100034,2025-09-12T15:14:00.393336
QUERY,6,167.50905699973373,True,200,100020,2025-09-12T15:14:00.661116
QUERY,7,145.1912929996979,True,200,100032,2025-09-12T15:14:00.906553
QUERY,8,164.66983600003005,True,200,100042,2025-09-12T15:14:01.171558
QUERY,9,151.86744299990096,True,200,100044,2025-09-12T15:14:01.423691
QUERY,10,162.5358020000931,True,200,100045,2025-09-12T15:14:01.686526
QUERY,11,154.5928800001093,True,200,100001,2025-09-12T15:14:01.941372
QUERY,12,161.26349999967715,True,200,100035,2025-09-12T15:14:02.202974
QUERY,13,153.83391300019866,True,200,100045,2025-09-12T15:14:02.457065
QUERY,14,165.14912599996023,True,200,100012,2025-09-12T15:14:02.722493
QUERY,15,153.28119900004822,True,200,100022,2025-09-12T15:14:02.976070
QUERY,16,155.8026319999044,True,200,100007,2025-09-12T15:14:03.232230
QUERY,17,176.66773600012675,True,200,100005,2025-09-12T15:14:03.509187
QUERY,18,158.99829299996782,True,200,100003,2025-09-12T15:14:03.768432
QUERY,19,160.9101539997937,True,200,100039,2025-09-12T15:14:04.029688
QUERY,20,167.58781399994405,True,200,100043,2025-09-12T15:14:04.297606
QUERY,21,165.29975899993588,True,200,100049,2025-09-12T15:14:04.563195
QUERY,22,170.9857060000104,True,200,100006,2025-09-12T15:14:04.834429
QUERY,23,158.75658599998133,True,200,100017,2025-09-12T15:14:05.093501
QUERY,24,183.26051099984397,True,200,100030,2025-09-12T15:14:05.377134
QUERY,25,156.96089300035965,True,200,100001,2025-09-12T15:14:05.634416
QUERY,26,145.92750300016633,True,200,100040,2025-09-12T15:14:05.880631
QUERY,27,162.95423799965647,True,200,100021,2025-09-12T15:14:06.143894
QUERY,28,189.22078500008865,True,200,100032,2025-09-12T15:14:06.433412
QUERY,29,179.57166399992275,True,200,100007,2025-09-12T15:14:06.713296
QUERY,30,167.33758600003057,True,200,100018,2025-09-12T15:14:06.980918
